"dataset" "learner" "memory_limit"
"273" "bank.marketing.1461" "classif.kerasff" 1393971.84
"274" "bank.marketing.1461" "classif.ranger.pow" 3673552.32
"275" "bank.marketing.1461" "classif.rpart" 569821.2
"276" "bank.marketing.1461" "classif.svm" 805626.48
"277" "bank.marketing.1461" "classif.svm.radial" 783271.2
"278" "bank.marketing.1461" "classif.xgboost.dart" 949882.8
"279" "bank.marketing.1461" "classif.xgboost.gblinear" 782718
"280" "bank.marketing.1461" "classif.xgboost.gbtree" 851631.84
"281" "banknote.authentication.1462" "classif.RcppHNSW" 334899.6
"282" "banknote.authentication.1462" "classif.glmnet" 359487.6
"283" "banknote.authentication.1462" "classif.kerasff" 1057946.16
"284" "banknote.authentication.1462" "classif.ranger.pow" 476601
"285" "banknote.authentication.1462" "classif.rpart" 357098.4
"286" "banknote.authentication.1462" "classif.svm" 369838.8
"287" "banknote.authentication.1462" "classif.svm.radial" 370927.2
"288" "banknote.authentication.1462" "classif.xgboost.dart" 398197.44
"289" "banknote.authentication.1462" "classif.xgboost.gblinear" 389189.04
"290" "banknote.authentication.1462" "classif.xgboost.gbtree" 398737.8
"291" "blood.transfusion.service.center.1464" "classif.RcppHNSW" 330644.4
"292" "blood.transfusion.service.center.1464" "classif.glmnet" 353424
"293" "blood.transfusion.service.center.1464" "classif.kerasff" 1068651.12
"294" "blood.transfusion.service.center.1464" "classif.ranger.pow" 481154.4
"295" "blood.transfusion.service.center.1464" "classif.rpart" 350414.4
"296" "blood.transfusion.service.center.1464" "classif.svm" 351507
"297" "blood.transfusion.service.center.1464" "classif.svm.radial" 351182.4
"298" "blood.transfusion.service.center.1464" "classif.xgboost.dart" 397060.56
"299" "blood.transfusion.service.center.1464" "classif.xgboost.gblinear" 388569.6
"300" "blood.transfusion.service.center.1464" "classif.xgboost.gbtree" 396444
"301" "breast.w.15" "classif.RcppHNSW" 333644.4
"302" "breast.w.15" "classif.glmnet" 356866.8
"303" "breast.w.15" "classif.kerasff" 1064236.8
"304" "breast.w.15" "classif.ranger.pow" 422603.52
"305" "breast.w.15" "classif.rpart" 355038
"306" "breast.w.15" "classif.svm" 356791.2
"307" "breast.w.15" "classif.svm.radial" 357418.8
"308" "breast.w.15" "classif.xgboost.dart" 394943.76
"309" "breast.w.15" "classif.xgboost.gblinear" 386770.8
"310" "breast.w.15" "classif.xgboost.gbtree" 393496.8
"311" "car.40975" "classif.RcppHNSW" 343767.72
"312" "car.40975" "classif.glmnet" 367365.6
"313" "car.40975" "classif.kerasff" 1072408.56
"314" "car.40975" "classif.ranger.pow" 501096.72
"315" "car.40975" "classif.rpart" 363787.2
"316" "car.40975" "classif.svm" 385763.28
"317" "car.40975" "classif.svm.radial" 385956.96
"318" "car.40975" "classif.xgboost.dart" 426526.08
"319" "car.40975" "classif.xgboost.gblinear" 391947.36
"320" "car.40975" "classif.xgboost.gbtree" 435902.76
"321" "christine.41142" "classif.RcppHNSW" 1030755.6
"322" "christine.41142" "classif.glmnet" 1547330.88
"323" "christine.41142" "classif.kerasff" 3742293.6
"324" "christine.41142" "classif.ranger.pow" 1821040.8
"325" "christine.41142" "classif.rpart" 1472809.2
"326" "christine.41142" "classif.svm" 2796743.64
"327" "christine.41142" "classif.svm.radial" 2272947.6
"328" "christine.41142" "classif.xgboost.dart" 2009459.28
"329" "christine.41142" "classif.xgboost.gblinear" 2004571.68
"330" "christine.41142" "classif.xgboost.gbtree" 2006383.2
"331" "churn.40701" "classif.RcppHNSW" 403741.32
"332" "churn.40701" "classif.glmnet" 395259.6
"333" "churn.40701" "classif.kerasff" 1050030.6
"334" "churn.40701" "classif.ranger.pow" 756952.92
"335" "churn.40701" "classif.rpart" 388539.6
"336" "churn.40701" "classif.svm" 449113.2
"337" "churn.40701" "classif.svm.radial" 451980
"338" "churn.40701" "classif.xgboost.dart" 430534.08
"339" "churn.40701" "classif.xgboost.gblinear" 417051.6
"340" "churn.40701" "classif.xgboost.gbtree" 430115.04
"341" "climate.model.simulation.crashes.40994" "classif.RcppHNSW" 333710.4
"342" "climate.model.simulation.crashes.40994" "classif.glmnet" 356893.2
"343" "climate.model.simulation.crashes.40994" "classif.kerasff" 1067096.88
"344" "climate.model.simulation.crashes.40994" "classif.ranger.pow" 420176.16
"345" "climate.model.simulation.crashes.40994" "classif.rpart" 354879.6
"346" "climate.model.simulation.crashes.40994" "classif.svm" 359380.08
"347" "climate.model.simulation.crashes.40994" "classif.svm.radial" 360956.4
"348" "climate.model.simulation.crashes.40994" "classif.xgboost.dart" 395804.4
"349" "climate.model.simulation.crashes.40994" "classif.xgboost.gblinear" 385539.84
"350" "climate.model.simulation.crashes.40994" "classif.xgboost.gbtree" 394357.2
"351" "cmc.23" "classif.RcppHNSW" 343334.64
"352" "cmc.23" "classif.glmnet" 367204.8
"353" "cmc.23" "classif.kerasff" 1084423.2
"354" "cmc.23" "classif.ranger.pow" 531789.12
"355" "cmc.23" "classif.rpart" 363112.8
"356" "cmc.23" "classif.svm" 381046.8
"357" "cmc.23" "classif.svm.radial" 382005.36
"358" "cmc.23" "classif.xgboost.dart" 423974.16
"359" "cmc.23" "classif.xgboost.gblinear" 390572.52
"360" "cmc.23" "classif.xgboost.gbtree" 432606.72
"361" "cnae.9.1468" "classif.RcppHNSW" 461563.68
"362" "cnae.9.1468" "classif.glmnet" 562044.6
"363" "cnae.9.1468" "classif.kerasff" 1257315.6
"364" "cnae.9.1468" "classif.ranger.pow" 666813.6
"365" "cnae.9.1468" "classif.rpart" 523510.8
"366" "cnae.9.1468" "classif.svm" 591793.2
"367" "cnae.9.1468" "classif.svm.radial" 601586.88
"368" "cnae.9.1468" "classif.xgboost.dart" 528895.32
"369" "cnae.9.1468" "classif.xgboost.gblinear" 536154
"370" "cnae.9.1468" "classif.xgboost.gbtree" 535723.2
"371" "connect.4.40668" "classif.RcppHNSW" 1016363.28
"372" "connect.4.40668" "classif.glmnet" 1117001.16
"373" "connect.4.40668" "classif.kerasff" 2239834.8
"374" "connect.4.40668" "classif.ranger.pow" 5088307.44
"375" "connect.4.40668" "classif.rpart" 801585.6
"376" "connect.4.40668" "classif.svm" 991408.08
"377" "connect.4.40668" "classif.svm.radial" 991369.44
"378" "connect.4.40668" "classif.xgboost.dart" 1313779.2
"379" "connect.4.40668" "classif.xgboost.gblinear" 1098811.2
"380" "connect.4.40668" "classif.xgboost.gbtree" 1123283.52
"381" "credit.approval.29" "classif.RcppHNSW" 337556.76
"382" "credit.approval.29" "classif.glmnet" 360562.8
"383" "credit.approval.29" "classif.kerasff" 1065973.68
"384" "credit.approval.29" "classif.ranger.pow" 466070.4
"385" "credit.approval.29" "classif.rpart" 356410.68
"386" "credit.approval.29" "classif.svm" 370226.88
"387" "credit.approval.29" "classif.svm.radial" 371552.4
"388" "credit.approval.29" "classif.xgboost.dart" 401005.2
"389" "credit.approval.29" "classif.xgboost.gblinear" 386618.16
"390" "credit.approval.29" "classif.xgboost.gbtree" 399559.68
"391" "credit.g.31" "classif.RcppHNSW" 345595.2
"392" "credit.g.31" "classif.glmnet" 368784
"393" "credit.g.31" "classif.kerasff" 1080148.8
"394" "credit.g.31" "classif.ranger.pow" 505311.96
"395" "credit.g.31" "classif.rpart" 362371.2
"396" "credit.g.31" "classif.svm" 383912.76
"397" "credit.g.31" "classif.svm.radial" 383562
"398" "credit.g.31" "classif.xgboost.dart" 406932.72
"399" "credit.g.31" "classif.xgboost.gblinear" 393277.44
"400" "credit.g.31" "classif.xgboost.gbtree" 406954.56
